Year,Value,Observation status,Unit multiplier,Unit measure,SERIES
2004,0.4,Estimate,Units,Percentage (%),SI_POV_DAY1
2005,0.5,Estimate,Units,Percentage (%),SI_POV_DAY1
2006,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
2007,0.3,Estimate,Units,Percentage (%),SI_POV_DAY1
2008,0.3,Estimate,Units,Percentage (%),SI_POV_DAY1
2009,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
2010,0.1,Estimate,Units,Percentage (%),SI_POV_DAY1
2011,0.4,Estimate,Units,Percentage (%),SI_POV_DAY1
2012,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
2013,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
2014,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
2015,0.1,Estimate,Units,Percentage (%),SI_POV_DAY1
2016,0.2,Estimate,Units,Percentage (%),SI_POV_DAY1
