Year,Age,Urban or Rural,Observation status,Unit multiplier,Units,Value
1990,Y12T17,,Estimate,Units,Percentage (%),100
1991,Y12T17,,Estimate,Units,Percentage (%),100
1992,Y12T17,,Estimate,Units,Percentage (%),100
1993,Y12T17,,Estimate,Units,Percentage (%),100
1994,Y12T17,,Estimate,Units,Percentage (%),100
1995,Y12T17,,Estimate,Units,Percentage (%),100
1996,Y12T17,,Estimate,Units,Percentage (%),100
1997,Y12T17,,Estimate,Units,Percentage (%),100
1998,Y12T17,,Estimate,Units,Percentage (%),100
1999,Y12T17,,Estimate,Units,Percentage (%),100
2000,Y12T17,,Estimate,Units,Percentage (%),100
2001,Y12T17,,Estimate,Units,Percentage (%),100
2002,Y12T17,,Estimate,Units,Percentage (%),100
2003,Y12T17,,Estimate,Units,Percentage (%),100
2004,Y12T17,,Estimate,Units,Percentage (%),100
2005,Y12T17,,Estimate,Units,Percentage (%),100
2006,Y12T17,,Estimate,Units,Percentage (%),100
2007,Y12T17,,Estimate,Units,Percentage (%),100
2008,Y12T17,,Estimate,Units,Percentage (%),100
2009,Y12T17,,Estimate,Units,Percentage (%),100
2010,Y12T17,,Estimate,Units,Percentage (%),100
2011,Y12T17,,Estimate,Units,Percentage (%),100
2012,Y12T17,,Estimate,Units,Percentage (%),100
2013,Y12T17,,Estimate,Units,Percentage (%),100
2014,Y12T17,,Estimate,Units,Percentage (%),100
2015,Y12T17,,Estimate,Units,Percentage (%),100
2016,Y12T17,,Estimate,Units,Percentage (%),100
2017,Y12T17,,Estimate,Units,Percentage (%),100
2018,Y12T17,,Estimate,Units,Percentage (%),100
1990,Y12T17,Urban,Estimate,Units,Percentage (%),99.89868927
1991,Y12T17,Urban,Estimate,Units,Percentage (%),99.94800568
1992,Y12T17,Urban,Estimate,Units,Percentage (%),99.98246765
1993,Y12T17,Urban,Estimate,Units,Percentage (%),99.99720001
1994,Y12T17,Urban,Estimate,Units,Percentage (%),100
1995,Y12T17,Urban,Estimate,Units,Percentage (%),100
1996,Y12T17,Urban,Estimate,Units,Percentage (%),100
1997,Y12T17,Urban,Estimate,Units,Percentage (%),100
1998,Y12T17,Urban,Estimate,Units,Percentage (%),99.99960327
1999,Y12T17,Urban,Estimate,Units,Percentage (%),99.99386597
2000,Y12T17,Urban,Estimate,Units,Percentage (%),99.97096252
2001,Y12T17,Urban,Estimate,Units,Percentage (%),99.92546082
2002,Y12T17,Urban,Estimate,Units,Percentage (%),99.8642807
2003,Y12T17,Urban,Estimate,Units,Percentage (%),99.81176758
2004,Y12T17,Urban,Estimate,Units,Percentage (%),99.7770462
2005,Y12T17,Urban,Estimate,Units,Percentage (%),99.76545715
2006,Y12T17,Urban,Estimate,Units,Percentage (%),99.77469635
2007,Y12T17,Urban,Estimate,Units,Percentage (%),99.80051422
2008,Y12T17,Urban,Estimate,Units,Percentage (%),99.83867645
2009,Y12T17,Urban,Estimate,Units,Percentage (%),99.88494873
2010,Y12T17,Urban,Estimate,Units,Percentage (%),99.9330368
2011,Y12T17,Urban,Estimate,Units,Percentage (%),99.97090912
2012,Y12T17,Urban,Estimate,Units,Percentage (%),99.99215698
2013,Y12T17,Urban,Estimate,Units,Percentage (%),99.99905396
2014,Y12T17,Urban,Estimate,Units,Percentage (%),100
2015,Y12T17,Urban,Estimate,Units,Percentage (%),100
2016,Y12T17,Urban,Estimate,Units,Percentage (%),100
2017,Y12T17,Urban,Estimate,Units,Percentage (%),100
2018,Y12T17,Urban,Estimate,Units,Percentage (%),100
1990,Y12T17,Rural,Estimate,Units,Percentage (%),100
1991,Y12T17,Rural,Estimate,Units,Percentage (%),100
1992,Y12T17,Rural,Estimate,Units,Percentage (%),100
1993,Y12T17,Rural,Estimate,Units,Percentage (%),100
1994,Y12T17,Rural,Estimate,Units,Percentage (%),100
1995,Y12T17,Rural,Estimate,Units,Percentage (%),100
1996,Y12T17,Rural,Estimate,Units,Percentage (%),100
1997,Y12T17,Rural,Estimate,Units,Percentage (%),100
1998,Y12T17,Rural,Estimate,Units,Percentage (%),100
1999,Y12T17,Rural,Estimate,Units,Percentage (%),100
2000,Y12T17,Rural,Estimate,Units,Percentage (%),100
2001,Y12T17,Rural,Estimate,Units,Percentage (%),100
2002,Y12T17,Rural,Estimate,Units,Percentage (%),100
2003,Y12T17,Rural,Estimate,Units,Percentage (%),100
2004,Y12T17,Rural,Estimate,Units,Percentage (%),100
2005,Y12T17,Rural,Estimate,Units,Percentage (%),100
2006,Y12T17,Rural,Estimate,Units,Percentage (%),100
2007,Y12T17,Rural,Estimate,Units,Percentage (%),100
2008,Y12T17,Rural,Estimate,Units,Percentage (%),100
2009,Y12T17,Rural,Estimate,Units,Percentage (%),100
2010,Y12T17,Rural,Estimate,Units,Percentage (%),100
2011,Y12T17,Rural,Estimate,Units,Percentage (%),100
2012,Y12T17,Rural,Estimate,Units,Percentage (%),100
2013,Y12T17,Rural,Estimate,Units,Percentage (%),100
2014,Y12T17,Rural,Estimate,Units,Percentage (%),100
2015,Y12T17,Rural,Estimate,Units,Percentage (%),100
2016,Y12T17,Rural,Estimate,Units,Percentage (%),100
2017,Y12T17,Rural,Estimate,Units,Percentage (%),100
2018,Y12T17,Rural,Estimate,Units,Percentage (%),100
